Kind,Name,CountLineCode,CountDeclClass,CountDeclFunction,CountLineCodeDecl,SumEssential,SumCyclomaticStrict,MaxEssential,MaxCyclomaticStrict,MaxNesting
File,"AMQ2149Test.java",464,13,34,148,36,80,4,14,4
File,"AMQ3274Test.java",642,6,35,169,35,77,1,7,4
File,"AMQPNativeOutboundTransformer.java",36,1,3,12,7,8,5,5,2
File,"AbstractEnvironment.java",274,3,39,95,45,69,5,7,3
File,"AbstractPropertyResolver.java",119,2,19,56,18,29,1,4,2
File,"ActiveMQAdmin.java",135,2,21,46,21,29,1,3,1
File,"AdvisoryBroker.java",438,1,34,153,34,91,1,10,3
File,"AmqpProtocolConverter.java",396,8,27,132,32,76,5,13,4
File,"AmqpProtocolConverter.java",1105,18,64,328,82,223,8,16,6
File,"AmqpTestSupport.java",44,2,3,26,3,4,1,2,1
File,"AmqpTransportFilter.java",99,1,10,36,10,21,1,4,2
File,"AppMasterEventProcessor.java",30,1,1,20,1,2,1,2,1
File,"Axis2Builder.java",281,1,13,116,22,53,4,17,5
File,"BridgeMethodResolver.java",126,1,9,37,24,40,6,7,3
File,"Broker.java",73,1,49,72,0,0,0,0,0
File,"BrokerFilter.java",231,1,65,97,65,66,1,2,1
File,"BrokerService.java",735,4,90,233,90,166,1,11,3
File,"BuddyAllocator.java",1383,7,103,422,166,325,12,25,5
File,"CXFBuilder.java",228,1,11,104,18,39,6,18,4
File,"CXFServiceRefBuilder.java",49,1,3,29,3,3,1,1,0
File,"CommandLinePropertySource.java",47,1,8,20,8,9,4,4,2
File,"ConfigurablePropertyResolver.java",12,1,8,11,0,0,0,0,0
File,"ConfigurationClassParser.java",587,7,45,197,56,140,4,13,5
File,"ConnectionPool.java",154,3,19,52,23,37,3,7,3
File,"ConnectorModuleBuilderTest.java",515,16,53,212,52,67,1,7,3
File,"ConstraintAuthorizationHandler.java",78,1,3,20,11,18,7,9,4
File,"DNSCache.java",141,2,13,31,21,28,5,6,3
File,"DNSConstants.java",100,1,0,98,0,0,0,0,0
File,"DNSEntry.java",110,1,8,18,8,38,1,20,1
File,"DNSIncoming.java",389,1,14,59,19,83,4,17,7
File,"DNSListener.java",5,1,1,3,0,0,0,0,0
File,"DNSOutgoing.java",305,1,21,52,24,70,4,10,3
File,"DNSQuestion.java",19,1,3,7,3,6,1,4,0
File,"DNSRecord.java",483,5,54,107,67,105,4,8,5
File,"DNSState.java",51,1,8,24,8,13,1,3,0
File,"DefaultJDBCAdapter.java",663,1,34,140,55,110,7,13,4
File,"DemandForwardingBridgeSupport.java",1030,10,79,242,115,250,10,31,9
File,"DruidOutputFormat.java",197,1,3,102,3,23,1,21,3
File,"DruidSerDe.java",479,2,13,145,21,80,5,21,4
File,"DummyConnectionFactory.java",20,1,5,9,5,5,1,1,0
File,"EmptyBroker.java",191,1,64,98,64,65,1,2,1
File,"EnvironmentSecurityManagerIntegrationTests.java",74,4,6,38,6,9,1,3,1
File,"ErrorBroker.java",233,1,65,99,65,66,1,2,1
File,"FailoverClusterTest.java",130,1,10,52,10,21,1,4,1
File,"FileAppender.java",10,1,3,9,0,0,0,0,0
File,"HCatCli.java",247,1,7,68,12,42,4,13,3
File,"HadoopDefaultAuthenticator.java",46,1,5,22,5,8,1,4,1
File,"HiveConf.java",2705,8,101,2139,117,206,9,21,4
File,"HiveConf.java",4839,12,156,3879,185,324,9,23,4
File,"HostInfo.java",103,1,10,25,10,29,1,7,3
File,"InitalReconnectDelayTest.java",81,1,6,38,6,8,1,3,1
File,"InvalidConnectionFactory.java",4,1,0,3,0,0,0,0,0
File,"JAXWSServiceBuilder.java",326,1,13,148,22,53,4,12,5
File,"JMSClientTest.java",57,2,2,21,2,6,1,5,2
File,"JmDNS.java",1366,13,83,266,108,333,6,39,9
File,"JmDNSFactory.java",42,3,4,17,6,8,3,3,2
File,"JndiPropertySource.java",24,1,3,9,3,4,1,2,1
File,"JoramJmsTest.java",51,1,2,26,2,3,1,2,1
File,"LocalSessionFactoryBean.java",139,1,19,53,19,37,1,17,3
File,"LowercasingPasswordFactory.java",7,1,1,4,1,1,1,1,0
File,"ManagementContext.java",348,3,46,113,52,95,5,13,5
File,"MessageDatabase.java",2754,43,249,718,299,618,13,35,5
File,"MockServerHttpRequest.java",189,4,44,105,30,34,1,3,1
File,"MutableBrokerFilter.java",238,1,67,100,67,68,1,2,1
File,"OpenEntityManagerInViewTests.java",6,1,0,5,0,0,0,0,0
File,"OpenTypeSupport.java",432,12,43,169,40,61,1,11,2
File,"ParameterizedBeanPropertyRowMapper.java",11,1,1,7,1,1,1,1,0
File,"ParameterizedBeanPropertyRowMapperTests.java",47,1,4,31,4,4,1,1,0
File,"ParameterizedRowMapper.java",5,1,0,4,0,0,0,0,0
File,"ParameterizedSingleColumnRowMapper.java",11,1,1,7,1,1,1,1,0
File,"PooledConnectionFactoryMaximumActiveTest.java",77,2,5,33,7,9,3,5,2
File,"PooledConnectionFactoryTest.java",82,2,4,30,7,11,4,6,3
File,"PooledConnectionTest.java",59,1,4,19,4,7,1,4,1
File,"PublishRequest.java",11,1,1,7,1,1,1,1,0
File,"ReactorServerHttpRequest.java",67,1,8,33,8,13,1,3,2
File,"RxNettyHttpHandlerAdapter.java",38,1,5,26,5,5,1,1,0
File,"RxNettyServerHttpRequest.java",76,1,8,40,8,13,1,3,2
File,"ServerHttpRequest.java",23,2,9,17,2,2,1,1,0
File,"ServerHttpRequestDecorator.java",47,1,9,27,9,9,1,1,0
File,"ServerHttpRequestIntegrationTests.java",33,2,3,21,3,3,1,1,0
File,"ServiceEvent.java",46,1,6,15,6,6,1,1,0
File,"ServiceInfo.java",443,1,37,87,52,103,8,16,6
File,"ServiceListener.java",8,1,3,6,0,0,0,0,0
File,"ServiceTypeListener.java",6,1,1,4,0,0,0,0,0
File,"ServletAnnotationControllerHandlerMethodTests.java",2927,101,332,1270,324,362,1,9,3
File,"ServletServerHttpRequest.java",198,4,20,91,20,39,1,10,2
File,"ServletServerHttpRequest.java",218,4,22,103,22,43,1,10,2
File,"SimpleJdbcDaoSupport.java",13,1,2,8,2,2,1,1,0
File,"SimpleJdbcOperations.java",74,1,36,73,0,0,0,0,0
File,"SimpleJdbcTemplate.java",206,1,40,104,40,50,1,3,1
File,"SimpleJdbcTemplateTests.java",307,4,34,158,34,34,1,1,0
File,"SimpleNamingContextBuilder.java",98,2,8,29,11,19,4,8,2
File,"SimpleNamingContextTests.java",195,2,11,75,11,21,1,9,1
File,"TestBuddyAllocator.java",261,6,26,113,26,44,1,4,2
File,"TestBuddyAllocatorForceEvict.java",403,4,31,119,35,68,3,10,3
File,"TestOrcMetadataCache.java",169,3,16,75,16,21,1,4,2
File,"TilesConfigurer.java",234,7,24,117,24,40,1,5,3
File,"TomcatHttpHandlerAdapter.java",80,3,7,43,7,10,1,4,2
File,"Topic.java",460,6,40,119,46,111,5,19,4
File,"TopicSubscriptionSlowConsumerTest.java",71,1,4,36,4,6,1,3,1
File,"TransactionIdTransformer.java",6,1,1,5,0,0,0,0,0
File,"UndertowServerHttpRequest.java",129,2,16,61,16,27,1,5,1
File,"XStreamWireFormat.java",64,1,11,29,11,16,1,5,2
File,"XStreamWireFormatTest.java",22,1,3,13,3,3,1,1,0
File,"ZeroconfDiscoveryAgent.java",166,2,28,65,28,42,1,5,2